Date,Close,chg(close),Low,chg(low),High,chg(high),MA,Exponential_Smoothing
2021-05-27 23:58:00,67.38,0.4,66.33,0.09,67.42,0.32,67.38,67.1414783324276
2021-05-28 23:58:00,66.9,-0.48,66.84,0.51,67.84,0.42,66.9,67.18655765952577
2021-06-01 23:58:00,68.32,1.42,68.8,1.96,68.8,0.96,68.32,66.58533028206476
2021-06-02 23:58:00,69.34,1.02,68.47,-0.33,69.4,0.6,69.34,68.4404712141313
2021-06-03 23:58:00,69.28,-0.06,68.98,0.51,68.98,-0.42,69.28,69.16550801723149
2021-06-04 23:58:00,69.87,0.59,68.98,0.0,70.0,1.02,69.87,69.4005996935912
2021-06-07 23:58:00,69.58,-0.29,69.11,0.13,70.06,0.06,69.58,70.02540026409089
2021-06-08 23:58:00,70.18,0.6,68.96,-0.15,70.31,0.25,70.18,69.79678571250385
2021-06-09 23:58:00,70.1,-0.08,69.78,0.82,70.58,0.27,70.1,69.97046292866472
2021-06-10 23:58:00,70.26,0.16,69.0,-0.78,70.6,0.02,70.26,69.73904643001359
2021-06-11 23:58:00,70.36,0.1,69.9,0.9,70.52,-0.08,70.36,70.51547764145683
2021-06-14 23:58:00,70.51,0.15,70.32,0.42,71.0,0.48,70.51,70.30286053707252
2021-06-15 23:58:00,71.37,0.86,70.4,0.08,71.64,0.64,71.37,70.62029415015105
2021-06-16 23:58:00,71.6,0.23,71.22,0.82,72.05,0.41,71.6,71.49422077261266
2021-06-17 23:58:00,70.27,-1.33,69.35,-1.87,71.56,-0.49,70.27,71.75547584797886
2021-06-18 23:58:00,70.63,0.36,69.5,0.15,70.81,-0.75,70.63,70.26832469386547
2021-06-21 23:58:00,71.69,1.06,70.19,0.69,71.74,0.93,71.69,70.24322478038853
2021-06-22 23:58:00,71.85,0.16,71.4,1.21,72.09,0.35,71.85,71.84249485084185
2021-06-23 23:58:00,72.34,0.49,72.1,0.7,72.9,0.81,72.34,71.77473131999835
2021-06-24 23:58:00,72.66,0.32,71.88,-0.22,72.78,-0.12,72.66,72.41045802763419
2021-06-25 23:58:00,73.15,0.49,72.1,0.22,73.13,0.35,73.15,72.83985597006149
2021-06-28 23:58:00,72.1,-1.05,71.92,-0.18,73.25,0.12,72.1,73.28274354302074
2021-06-29 23:58:00,72.25,0.15,71.4,-0.52,72.84,-0.41,72.25,72.06465059057861
2021-06-30 23:58:00,72.37,0.12,72.0,0.6,73.1,0.26,72.37,71.88283820672446
2021-07-01 23:58:00,73.44,1.07,72.38,0.38,74.01,0.91,73.44,72.62923643010461
2021-07-02 23:58:00,73.79,0.35,72.91,0.53,73.93,-0.08,73.79,73.27538172252227
2021-07-06 23:58:00,71.92,-1.87,71.54,-1.37,75.02,1.09,71.92,73.86609207098628
2021-07-07 23:58:00,70.96,-0.96,70.15,-1.39,73.25,-1.77,70.96,72.34408499467163
2021-07-08 23:58:00,71.7,0.74,69.83,-0.32,71.87,-1.38,71.7,71.2811993089769
2021-07-09 23:58:00,73.11,1.41,71.42,1.59,73.25,1.38,73.11,71.48650451845891
2021-07-12 23:58:00,72.87,-0.24,71.96,0.54,73.2,-0.05,72.87,72.58286755401159
2021-07-13 23:58:00,74.13,1.26,72.7,0.74,74.24,1.04,74.13,73.15148648307927
2021-07-14 23:58:00,72.46,-1.67,71.7,-1.0,74.31,0.07,72.46,73.94672223453591
2021-07-15 23:58:00,71.39,-1.07,71.16,-0.54,72.21,-2.1,71.39,72.75870905586028
2021-07-16 23:58:00,71.67,0.28,70.5,-0.66,72.01,-0.2,71.67,71.74986040820615
2021-07-19 23:58:00,66.94,-4.73,66.42,-4.08,71.22,-0.79,66.94,71.84612527351888
2021-07-20 23:58:00,67.61,0.67,65.92,-0.5,67.84,-3.38,67.61,67.31881701339795
2021-07-21 23:58:00,70.31,2.7,67.05,1.13,70.38,2.54,70.31,67.23106591850092
2021-07-22 23:58:00,71.67,1.36,69.77,2.72,71.7,1.32,71.67,70.28094338953294
2021-07-23 23:58:00,71.88,0.21,71.21,1.44,71.95,0.25,71.88,71.44105590393586
2021-07-26 23:58:00,72.06,0.18,70.57,-0.64,72.22,0.27,72.06,71.96450960365415
2021-07-27 23:58:00,71.89,-0.17,71.65,1.08,72.54,0.32,71.89,72.25699173722131
2021-07-28 23:58:00,72.35,0.46,71.95,0.3,72.65,0.11,72.35,72.0980640133576
2021-07-29 23:58:00,73.61,1.26,72.22,0.27,73.65,1.0,73.61,72.15506554896598
2021-07-30 23:58:00,73.8,0.19,72.95,0.73,74.0,0.35,73.8,73.10161726423304
2021-08-02 23:58:00,71.49,-2.31,71.0,-1.95,73.73,-0.27,71.49,74.03574149135049
2021-08-03 23:58:00,71.12,-0.37,69.9,-1.1,72.06,-1.67,71.12,71.69873899656957
2021-08-04 23:58:00,69.32,-1.8,69.07,-0.83,71.43,-0.63,69.32,71.31771050257808
2021-08-05 23:58:00,70.26,0.94,68.81,-0.26,70.35,-1.08,70.26,69.74982671843249
2021-08-06 23:58:00,69.87,-0.39,69.43,0.62,71.32,0.97,69.87,70.37049349358796
2021-08-09 23:58:00,68.16,-1.71,66.93,-2.5,69.05,-2.27,68.16,69.75876124630847
2021-08-10 23:58:00,69.76,1.6,68.44,1.51,70.26,1.21,69.76,67.9912918650123
2021-08-11 23:58:00,70.6,0.84,68.32,-0.12,70.71,0.45,70.6,69.87668497396747
2021-08-12 23:58:00,70.44,-0.16,70.0,1.68,70.94,0.23,70.44,70.44510896488742
2021-08-13 23:58:00,69.74,-0.7,69.25,-0.75,70.5,-0.44,69.74,70.57390337150596
2021-08-16 23:58:00,68.68,-1.06,67.44,-1.81,69.55,-0.95,68.68,70.0403718710234
